,Series ID,Date,Value,Annual Percent Change
254,CUSR0000SETB01,2019-12-01,244.197,8.5
255,CUSR0000SETB01,2019-11-01,236.924,-0.6
256,CUSR0000SETB01,2019-10-01,232.348,-8.3
257,CUSR0000SETB01,2019-09-01,228.23,-8.8
258,CUSR0000SETB01,2019-08-01,229.734,-6.7
259,CUSR0000SETB01,2019-07-01,235.098,-2.6
260,CUSR0000SETB01,2019-06-01,231.691,-4.7
261,CUSR0000SETB01,2019-05-01,242.557,0.1
262,CUSR0000SETB01,2019-04-01,245.651,2.9
263,CUSR0000SETB01,2019-03-01,230.013,-0.6
264,CUSR0000SETB01,2019-02-01,217.237,-9.4
265,CUSR0000SETB01,2019-01-01,208.73,-11.3
266,CUSR0000SETB01,2018-12-01,225.063,-1.7
267,CUSR0000SETB01,2018-11-01,238.309,4.1
268,CUSR0000SETB01,2018-10-01,253.471,15.7
269,CUSR0000SETB01,2018-09-01,250.369,9.7
270,CUSR0000SETB01,2018-08-01,246.229,20.9
271,CUSR0000SETB01,2018-07-01,241.377,25.8
272,CUSR0000SETB01,2018-06-01,243.105,24.2
273,CUSR0000SETB01,2018-05-01,242.344,22.5
274,CUSR0000SETB01,2018-04-01,238.803,14.2
275,CUSR0000SETB01,2018-03-01,231.325,9.8
276,CUSR0000SETB01,2018-02-01,239.767,12.2
277,CUSR0000SETB01,2018-01-01,235.325,8.0
278,CUSR0000SETB01,2017-12-01,228.888,11.0
279,CUSR0000SETB01,2017-11-01,228.908,14.9
280,CUSR0000SETB01,2017-10-01,218.99,10.7
281,CUSR0000SETB01,2017-09-01,228.252,20.3
282,CUSR0000SETB01,2017-08-01,203.585,10.8
283,CUSR0000SETB01,2017-07-01,191.889,3.5
284,CUSR0000SETB01,2017-06-01,195.797,-0.3
285,CUSR0000SETB01,2017-05-01,197.848,5.4
286,CUSR0000SETB01,2017-04-01,209.074,13.2
287,CUSR0000SETB01,2017-03-01,210.69,20.3
288,CUSR0000SETB01,2017-02-01,213.626,31.3
289,CUSR0000SETB01,2017-01-01,217.892,20.1
290,CUSR0000SETB01,2016-12-01,206.244,8.1
291,CUSR0000SETB01,2016-11-01,199.22,0.1
292,CUSR0000SETB01,2016-10-01,197.788,-0.8
293,CUSR0000SETB01,2016-09-01,189.766,-6.0
294,CUSR0000SETB01,2016-08-01,183.715,-18.6
295,CUSR0000SETB01,2016-07-01,185.486,-20.0
296,CUSR0000SETB01,2016-06-01,196.44,-14.9
297,CUSR0000SETB01,2016-05-01,187.627,-16.7
298,CUSR0000SETB01,2016-04-01,184.762,-12.7
299,CUSR0000SETB01,2016-03-01,175.164,-18.4
300,CUSR0000SETB01,2016-02-01,162.727,-21.4
301,CUSR0000SETB01,2016-01-01,181.445,-9.1
302,CUSR0000SETB01,2015-12-01,190.765,-20.0
303,CUSR0000SETB01,2015-11-01,198.984,-24.1
304,CUSR0000SETB01,2015-10-01,199.315,-28.4
305,CUSR0000SETB01,2015-09-01,201.935,-29.6
306,CUSR0000SETB01,2015-08-01,225.725,-23.4
307,CUSR0000SETB01,2015-07-01,231.775,-22.7
308,CUSR0000SETB01,2015-06-01,230.871,-23.6
309,CUSR0000SETB01,2015-05-01,225.281,-25.2
310,CUSR0000SETB01,2015-04-01,211.577,-30.7
311,CUSR0000SETB01,2015-03-01,214.684,-28.5
312,CUSR0000SETB01,2015-02-01,206.901,-32.2
313,CUSR0000SETB01,2015-01-01,199.553,-35.3
314,CUSR0000SETB01,2014-12-01,238.491,-21.4
315,CUSR0000SETB01,2014-11-01,262.282,-11.7
316,CUSR0000SETB01,2014-10-01,278.463,-5.8
317,CUSR0000SETB01,2014-09-01,287.003,-3.5
318,CUSR0000SETB01,2014-08-01,294.803,-2.8
319,CUSR0000SETB01,2014-07-01,299.785,0.3
320,CUSR0000SETB01,2014-06-01,302.293,1.4
321,CUSR0000SETB01,2014-05-01,301.296,2.8
322,CUSR0000SETB01,2014-04-01,305.367,3.4
323,CUSR0000SETB01,2014-03-01,300.141,-3.3
324,CUSR0000SETB01,2014-02-01,305.007,-7.4
325,CUSR0000SETB01,2014-01-01,308.4,0.5
326,CUSR0000SETB01,2013-12-01,303.304,-1.0
327,CUSR0000SETB01,2013-11-01,297.183,-5.7
328,CUSR0000SETB01,2013-10-01,295.64,-11.1
329,CUSR0000SETB01,2013-09-01,297.39,-9.0
330,CUSR0000SETB01,2013-08-01,303.409,-2.2
331,CUSR0000SETB01,2013-07-01,298.754,3.9
332,CUSR0000SETB01,2013-06-01,298.112,2.3
333,CUSR0000SETB01,2013-05-01,293.131,-3.5
334,CUSR0000SETB01,2013-04-01,295.206,-7.6
335,CUSR0000SETB01,2013-03-01,310.442,-2.7
336,CUSR0000SETB01,2013-02-01,329.253,4.0
337,CUSR0000SETB01,2013-01-01,306.734,0.2
338,CUSR0000SETB01,2012-12-01,306.338,1.9
339,CUSR0000SETB01,2012-11-01,315.264,2.2
340,CUSR0000SETB01,2012-10-01,332.699,8.7
341,CUSR0000SETB01,2012-09-01,326.789,5.7
342,CUSR0000SETB01,2012-08-01,310.365,1.3
343,CUSR0000SETB01,2012-07-01,287.505,-5.7
344,CUSR0000SETB01,2012-06-01,291.49,-4.2
345,CUSR0000SETB01,2012-05-01,303.692,-3.5
346,CUSR0000SETB01,2012-04-01,319.414,3.0
347,CUSR0000SETB01,2012-03-01,319.198,8.2
348,CUSR0000SETB01,2012-02-01,316.625,13.1
349,CUSR0000SETB01,2012-01-01,306.17,11.0
350,CUSR0000SETB01,2011-12-01,300.662,10.7
351,CUSR0000SETB01,2011-11-01,308.587,20.3
352,CUSR0000SETB01,2011-10-01,305.963,22.4
353,CUSR0000SETB01,2011-09-01,309.168,31.2
354,CUSR0000SETB01,2011-08-01,306.276,31.6
355,CUSR0000SETB01,2011-07-01,304.901,33.1
356,CUSR0000SETB01,2011-06-01,304.321,36.6
357,CUSR0000SETB01,2011-05-01,314.859,38.2
358,CUSR0000SETB01,2011-04-01,310.115,33.3
359,CUSR0000SETB01,2011-03-01,294.915,26.5
360,CUSR0000SETB01,2011-02-01,280.015,18.8
361,CUSR0000SETB01,2011-01-01,275.816,14.0
362,CUSR0000SETB01,2010-12-01,271.509,14.4
363,CUSR0000SETB01,2010-11-01,256.596,7.7
364,CUSR0000SETB01,2010-10-01,249.885,9.3
365,CUSR0000SETB01,2010-09-01,235.661,4.2
366,CUSR0000SETB01,2010-08-01,232.674,4.0
367,CUSR0000SETB01,2010-07-01,229.026,8.2
368,CUSR0000SETB01,2010-06-01,222.745,4.5
369,CUSR0000SETB01,2010-05-01,227.765,28.6
370,CUSR0000SETB01,2010-04-01,232.594,38.2
371,CUSR0000SETB01,2010-03-01,233.103,39.7
372,CUSR0000SETB01,2010-02-01,235.748,35.4
373,CUSR0000SETB01,2010-01-01,242.036,50.5
374,CUSR0000SAF1,2025-07-01,339.652,2.9
375,CUSR0000SAF1,2025-06-01,339.498,3.0
376,CUSR0000SAF1,2025-05-01,338.386,2.9
377,CUSR0000SAF1,2025-04-01,337.424,2.7
378,CUSR0000SAF1,2025-03-01,337.686,3.0
